2025-03-24 11:35:44,718 - CircuitSimulator - DEBUG - WorkArea初始化完成
2025-03-24 11:35:54,210 - CircuitSimulator - DEBUG - 更新导线路径: start=PyQt6.QtCore.QPointF(65.0, -60.0), end=PyQt6.QtCore.QPointF(65.0, -60.0), points=4
2025-03-24 11:35:54,211 - CircuitSimulator - DEBUG - 创建新导线: start_pos=PyQt6.QtCore.QPointF(65.0, -60.0)
2025-03-24 11:35:54,211 - CircuitSimulator - DEBUG - 导线起点连接到: 开关
2025-03-24 11:35:54,612 - CircuitSimulator - DEBUG - 更新导线路径: start=PyQt6.QtCore.QPointF(65.0, -60.0), end=PyQt6.QtCore.QPointF(65.0, -60.0), points=4
2025-03-24 11:35:54,615 - CircuitSimulator - DEBUG - 更新导线路径: start=PyQt6.QtCore.QPointF(65.0, -60.0), end=PyQt6.QtCore.QPointF(65.0, -60.0), points=4
2025-03-24 11:35:54,625 - CircuitSimulator - DEBUG - 更新导线路径: start=PyQt6.QtCore.QPointF(65.0, -60.0), end=PyQt6.QtCore.QPointF(65.0, -60.0), points=4
2025-03-24 11:35:54,629 - CircuitSimulator - DEBUG - 更新导线路径: start=PyQt6.QtCore.QPointF(65.0, -60.0), end=PyQt6.QtCore.QPointF(65.0, -60.0), points=4
2025-03-24 11:35:54,636 - CircuitSimulator - DEBUG - 更新导线路径: start=PyQt6.QtCore.QPointF(65.0, -60.0), end=PyQt6.QtCore.QPointF(65.0, -60.0), points=4
2025-03-24 11:35:54,648 - CircuitSimulator - DEBUG - 更新导线路径: start=PyQt6.QtCore.QPointF(65.0, -60.0), end=PyQt6.QtCore.QPointF(65.0, -60.0), points=4
2025-03-24 11:35:54,651 - CircuitSimulator - DEBUG - 更新导线路径: start=PyQt6.QtCore.QPointF(65.0, -60.0), end=PyQt6.QtCore.QPointF(65.0, -60.0), points=4
2025-03-24 11:35:54,664 - CircuitSimulator - DEBUG - 更新导线路径: start=PyQt6.QtCore.QPointF(65.0, -60.0), end=PyQt6.QtCore.QPointF(65.0, -60.0), points=4
2025-03-24 11:35:54,674 - CircuitSimulator - DEBUG - 更新导线路径: start=PyQt6.QtCore.QPointF(65.0, -60.0), end=PyQt6.QtCore.QPointF(65.0, -60.0), points=4
2025-03-24 11:35:54,686 - CircuitSimulator - DEBUG - 更新导线路径: start=PyQt6.QtCore.QPointF(65.0, -60.0), end=PyQt6.QtCore.QPointF(65.0, -60.0), points=4
2025-03-24 11:35:54,742 - CircuitSimulator - DEBUG - 更新导线路径: start=PyQt6.QtCore.QPointF(65.0, -60.0), end=PyQt6.QtCore.QPointF(65.0, -60.0), points=4
2025-03-24 11:35:54,773 - CircuitSimulator - DEBUG - 更新导线路径: start=PyQt6.QtCore.QPointF(65.0, -60.0), end=PyQt6.QtCore.QPointF(67.0, -68.0), points=4
2025-03-24 11:35:54,800 - CircuitSimulator - DEBUG - 更新导线路径: start=PyQt6.QtCore.QPointF(65.0, -60.0), end=PyQt6.QtCore.QPointF(67.0, -69.0), points=4
2025-03-24 11:35:54,806 - CircuitSimulator - DEBUG - 更新导线路径: start=PyQt6.QtCore.QPointF(65.0, -60.0), end=PyQt6.QtCore.QPointF(67.0, -70.0), points=4
2025-03-24 11:35:54,812 - CircuitSimulator - DEBUG - 更新导线路径: start=PyQt6.QtCore.QPointF(65.0, -60.0), end=PyQt6.QtCore.QPointF(66.0, -70.0), points=4
2025-03-24 11:35:54,835 - CircuitSimulator - DEBUG - 更新导线路径: start=PyQt6.QtCore.QPointF(65.0, -60.0), end=PyQt6.QtCore.QPointF(66.0, -72.0), points=4
2025-03-24 11:35:54,836 - CircuitSimulator - DEBUG - 更新导线路径: start=PyQt6.QtCore.QPointF(65.0, -60.0), end=PyQt6.QtCore.QPointF(66.0, -74.0), points=4
2025-03-24 11:35:54,843 - CircuitSimulator - DEBUG - 更新导线路径: start=PyQt6.QtCore.QPointF(65.0, -60.0), end=PyQt6.QtCore.QPointF(66.0, -77.0), points=4
2025-03-24 11:35:54,847 - CircuitSimulator - DEBUG - 更新导线路径: start=PyQt6.QtCore.QPointF(65.0, -60.0), end=PyQt6.QtCore.QPointF(65.0, -80.0), points=4
2025-03-24 11:35:54,854 - CircuitSimulator - DEBUG - 更新导线路径: start=PyQt6.QtCore.QPointF(65.0, -60.0), end=PyQt6.QtCore.QPointF(64.0, -82.0), points=4
